Key,id,en,zh,ru,es,de,pt,fr,ca,pl
ROTATE_LEFT,56,Rotate left,向左旋转,Поверните влево,Girar a la izquierda,Nach links drehen,Vire à esquerda,Tourne à gauche,Gireu a l'esquerra,Obrót w lewo
ROTATE_RIGHT,57,Rotate right,右旋,Вращаться вправо,Gira a la derecha,Drehe nach rechts,Vire à direita,Tourner à droite,Gireu a la dreta,Obróć w prawo
ROTATE,58,Rotate,旋转,Повернуть,Girar,Drehen,Girar,Tourner,Rodar,Obracać się
ZOOM,59,Zoom,飞涨,Зум,Zoom,Zoomen,Ampliação,Zoom,Zoom,Powiększenie
ZOOM_IN,60,Zoom in,放大,Приблизить,Acercarse,Hineinzoomen,Mais Zoom,Agrandir,Ampliar,Zbliżenie
ZOOM_OUT,61,Zoom out,缩小,Уменьшить,Disminuir el zoom,Rauszoomen,Reduzir o zoom,Dézoomer,Disminuir el zoom,Powiększyć
SOUNDS,62,Sounds,听起来,Звуки,Sonidos,Geräusche,Sons,Des sons,Sons,Dźwięki
CLICK_TO_CONTINUE,63,Click to continue,点击继续,Нажмите для продолжения,Haz click para continuar,Klicke um Fortzufahren,Clique para continuar,Cliquez pour continuer,Feu clic per continuar,"Kliknij, aby kontynuować"
RESTART,64,Restart,重新开始,Перезапуск,Reanudar,Neu starten,Reiniciar,Redémarrage,Reinicia,Uruchom ponownie
YES,65,Yes,是的,Да,Sí,Ja,Sim,Oui,Sí,Tak
NO,66,No,不,Нет,No,NEIN,Não,Non,No,NIE
BASIC_CONTROLS,67,Basic Constrols,基本约束,Основные конструирование,Constrolos básicos,Grundbeschränkungen,Constróis básicos,Contrèges de base,Constroles bàsiques,Podstawowe ograniczenia
SYSTEM,68,System,系统,Система,Sistema,System,Sistema,Système,Sistema,System
SAVE,69,Save,节省,Сохранять,Ahorrar,Speichern,Salvar,Sauvegarder,Estalviar,Ratować
SAVEING,70,Saveing,保存,Сохранить,Salvo,Sparen,Salvar,Sauvegarde,Estalviar,Oszczędzanie
LOAD,70,Load,加载,Нагрузка,Carga,Belastung,Carregar,Charger,Carregar,Obciążenie
SAVED_FILES,71,Saved files,保存的文件,Сохраненные файлы,Archivos guardados,Gespeicherte Dateien,Arquivos salvos,Fichiers enregistrés,Fitxers desats,Zapisane pliki
ORIGINAL,72,Original,原来的,Оригинал,Original,Original,Original,Original,Original,Oryginalny
ALREADY_USED,73,Already used,已使用,Уже использован,Ya usado,Schon benutzt,Já usado,Déjà utilisé,Ja s'utilitza,Już użyte
STANDART,74,Standart,Standart,Standart,Estancado,Standart,padrão,Standart,Disseny,Standart
MODES,75,Modes,模式,Режимы,Modos,Modi,Modos,Modes,Modes,Tryby
DELETE,76,Delete,删除,Удалить,Borrar,Löschen,Excluir,Supprimer,Esborrar,Usuwać
CONTACT_ME,77,Contact me,联络我,Свяжитесь со мной,Contáctame,Kontaktiere mich,Contate-me,Contactez moi,Poseu -vos en contacte amb mi,Skontaktuj się ze mną
FOLDER,78,Folder,文件夹,Папка,Carpeta,Ordner,Pasta,Dossier,Carpeta,Teczka
